8.6,81.39,61.61,23.16
8.618,81.8,60.42,24.34
8.633,82.21,59.27,25.45
8.65,82.81,57.97,26.74
8.667,83.75,56.62,28.21
8.683,84.82,55.33,29.65
8.7,85.78,54.06,30.99
8.717,86.77,52.64,32.44
8.733,88.1,51.11,34.06
8.751,89.68,49.72,35.64
8.767,91.41,48.38,37.19
8.783,93.65,46.83,38.92
8.8,96.24,45.11,40.79
8.817,98.75,43.48,42.57
8.833,100.66,41.98,44.12
8.85,102.09,40.66,45.39
8.868,103.32,39.72,46.28
8.884,104.42,39.22,46.8
8.901,105.21,39.07,47.03
8.917,105.46,39.23,46.92
8.933,105.17,39.67,46.49
8.95,104.41,40.44,45.71
8.967,103.15,41.59,44.5
8.983,101.65,42.92,43.06
9,100.14,44.31,41.56
9.017,98.64,45.69,40.08
9.034,96.98,47.14,38.54
9.05,95.19,48.6,36.94
9.067,93.33,50.2,35.17
9.083,91.37,52.08,33.08
9.1,89.46,54.17,30.72
9.118,87.88,56.36,28.31
9.134,86.51,58.67,25.82
9.15,85.21,60.97,23.31
9.167,84.04,63.07,20.97
9.184,83.25,64.82,19.08
9.201,82.84,66.17,17.72
9.218,82.6,67.17,16.79
9.234,82.15,67.91,16.06
9.251,81.29,68.44,15.38
9.268,80.05,68.74,14.74
9.284,78.65,68.83,14.2
9.301,77.19,68.83,13.72
9.317,75.57,68.96,13.06
9.334,73.65,69.19,12.06
9.351,71.63,69.39,10.9
9.367,69.74,69.53,9.76
9.384,67.99,69.61,8.72
9.4,66.28,69.67,7.77
9.417,64.4,69.65,6.68
9.433,62.17,69.38,5.37
9.45,59.83,68.79,4.06
9.467,57.57,67.95,3
9.483,55.49,67,2.2
9.5,53.43,65.96,1.55
9.518,51.11,64.85,0.89
9.534,48.53,63.55,0.28
9.55,46.14,62.16,-0.06
9.567,44.18,60.7,-0.09
9.584,42.44,59.23,0.18
9.6,40.78,57.7,0.52
9.617,39.13,55.95,0.61
9.633,37.48,54.01,0.42
9.65,35.78,52.08,0.16
9.667,34.26,50.31,0.03
9.683,33.03,48.59,-0.09
9.701,31.93,46.72,-0.35
9.718,30.91,44.56,-0.85
9.734,30.02,42.14,-1.46
9.751,29.25,39.64,-1.9
9.767,28.66,37.21,-2.06
9.784,28.31,34.9,-1.98
9.801,28.11,32.74,-1.78
9.818,27.98,30.76,-1.58
9.834,27.84,29.01,-1.45
9.851,27.73,27.52,-1.36
9.868,27.63,26.25,-1.25
9.884,27.47,25.17,-0.96
9.901,27.26,24.33,-0.68
9.917,27,23.74,-0.57
9.934,26.69,23.36,-0.59
9.95,26.41,23.16,-0.65
9.968,26.22,23.08,-0.71
9.984,26.15,23.05,-0.8
10.001,26.17,22.95,-1.02
10.018,26.15,22.72,-1.38
10.035,26.01,22.33,-1.83
10.05,25.72,21.87,-2.27
10.067,25.37,21.34,-2.65
10.084,25.01,20.75,-3.03
10.1,24.65,20.17,-3.38
10.117,24.31,19.66,-3.72
10.135,24.02,19.23,-4.11
10.151,23.78,18.88,-4.5
10.167,23.58,18.58,-4.85
10.184,23.38,18.22,-5.17
10.2,23.13,17.75,-5.44
10.217,22.79,17.14,-5.58
10.234,22.39,16.5,-5.54
10.25,21.93,15.84,-5.36
10.268,21.44,15.07,-5.09
10.284,21,14.14,-4.82
10.3,20.72,13.16,-4.61
10.318,20.52,12.21,-4.44
10.334,20.35,11.4,-4.27
10.351,20.17,10.81,-4.12
10.367,20.03,10.52,-4.06
10.385,19.97,10.58,-4.16
10.4,19.97,10.89,-4.25
10.417,19.95,11.33,-4.21
10.434,19.88,11.89,-4.01
10.45,19.85,12.7,-3.81
10.467,19.85,13.84,-3.68
10.484,19.84,15.19,-3.52
10.501,19.81,16.58,-3.28
10.517,19.72,17.93,-2.95
10.534,19.64,19.39,-2.67
10.55,19.66,21.05,-2.51
10.567,19.88,22.77,-2.49
10.583,20.2,24.32,-2.56
10.6,20.48,25.58,-2.56
10.617,20.64,26.68,-2.36
10.633,20.78,27.92,-2.04
10.65,21.06,29.43,-1.77
10.667,21.42,31.03,-1.62
10.684,21.67,32.57,-1.57
10.701,21.74,34.13,-1.49
10.718,21.88,35.9,-1.4
10.734,22.35,37.91,-1.38
10.751,23.12,39.99,-1.41
10.768,24.01,42,-1.44
10.784,24.9,43.91,-1.46
10.801,25.71,45.84,-1.52
10.818,26.49,47.86,-1.54
10.834,27.39,49.93,-1.46
10.851,28.59,51.91,-1.36
10.867,29.98,53.7,-1.28
10.884,31.52,55.39,-1.17
10.901,33.36,57.09,-1.01
10.918,35.43,58.84,-0.91
10.934,37.44,60.57,-0.82
10.95,39.09,62.19,-0.7
10.967,40.63,63.7,-0.61
10.984,42.4,65.11,-0.63
11.001,44.56,66.49,-0.75
11.018,46.9,67.84,-0.87
11.034,49.2,69.11,-0.88
11.051,51.16,70.18,-0.81
11.068,52.59,71,-0.72
11.084,53.72,71.64,-0.62
11.101,54.97,72.29,-0.55
11.118,56.32,72.97,-0.53
11.134,57.52,73.62,-0.49
11.151,58.45,74.23,-0.43
11.168,59.13,74.8,-0.38
11.184,59.73,75.31,-0.35
11.201,60.4,75.81,-0.32
11.217,61.35,76.4,-0.28
11.234,62.69,77.14,-0.23
11.25,64.42,78.03,-0.18
11.267,66.24,78.98,-0.15
11.284,67.98,79.92,-0.15
11.301,69.81,80.93,-0.14
11.317,72.05,82.1,-0.16
11.334,74.56,83.33,-0.21
11.35,77.08,84.51,-0.26
11.368,79.73,85.74,-0.33
11.383,83,87.2,-0.44
11.401,86.97,88.82,-0.63
11.417,91.28,88.74,-0.89
11.433,95.35,87.04,-1.2
11.451,99.2,85.31,-1.52
11.468,103.05,83.55,-1.84
11.484,106.97,81.68,-2.18
11.5,110.79,79.72,-2.58
11.518,114.15,77.8,-3.05
11.534,116.92,76.05,-3.57
11.551,119.3,74.4,-4.14
11.567,121.34,72.74,-4.83
11.583,122.96,71.15,-5.56
11.6,124.38,69.66,-6.34
11.618,125.57,68.31,-7.12
11.634,126.53,67.14,-7.89
11.651,127.05,66.29,-8.63
11.667,127.12,65.63,-9.4
11.684,126.91,65.08,-10.16
11.702,126.75,64.5,-10.97
11.718,126.67,63.9,-11.75
11.735,126.75,63.23,-12.52
11.751,126.99,62.48,-13.29
11.768,127.4,61.68,-14.08
11.784,127.81,60.86,-14.89
11.801,128.13,59.96,-15.73
11.818,128.37,59.03,-16.62
11.834,128.65,58.13,-17.45
11.85,129.04,57.32,-18.05
11.867,129.59,56.56,-18.47
11.883,130.27,55.84,-18.81
11.901,131.12,55.14,-19.08
11.918,132,54.37,-19.26
11.934,132.8,53.63,-19.28
11.952,133.52,52.95,-19.23
11.968,134.2,52.49,-19.19
11.984,134.73,52.29,-19.12
12.001,134.86,52.31,-18.93
12.017,134.72,52.48,-18.66
12.034,134.63,52.74,-18.38
12.05,134.6,53.14,-18.12
12.068,134.57,53.69,-17.86
12.084,134.5,54.31,-17.64
12.1,134.4,54.92,-17.45
12.117,134.43,55.49,-17.23
12.134,134.74,56.03,-16.97
12.15,135.39,56.6,-16.67
12.168,136.25,57.28,-16.3
12.184,136.94,58.17,-15.86
12.201,137.02,59.31,-15.42
12.217,136.42,60.65,-14.99
12.234,135.51,62.09,-14.65
12.25,134.73,63.54,-14.43
12.268,134.02,64.95,-14.32
12.284,132.81,66.33,-14.29
12.302,130.5,67.72,-14.25
12.318,127.06,69.16,-14.12
12.334,123.14,70.66,-13.89
12.351,119.42,72.11,-13.63
12.369,115.73,73.36,-13.5
