time,yaw,pitch,roll
13:24:48,InéInitializing I2C d
13:24:48,vic
13:24:48,s...
T
13:24:48,sting d
13:24:48,vic
13:24:48, conn
13:24:48,ctions...
MPU6050 conn
13:24:48,ction succ
13:24:48,ssful

S
13:24:48,nd any charact
13:24:49,r to b
13:24:49,gin DMP programming and d
13:24:49,mo: 
Initializing DMP...
Enabling DMP...
Enabling int
13:24:49,rrupt d
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.71
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.72
13:24:53,-0.00,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:53,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.83,-1.73
13:24:54,-0.01,-3.84,-1.74
13:24:54,-0.01,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.83,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.74
13:24:54,-0.02,-3.84,-1.75
13:24:54,-0.02,-3.84,-1.75
13:24:54,-0.02,-3.84,-1.75
13:24:54,-0.03,-3.84,-1.75
13:24:54,-0.03,-3.85,-1.75
13:24:54,-0.03,-3.84,-1.75
13:24:54,-0.03,-3.85,-1.75
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.03,-3.85,-1.76
13:24:54,-0.04,-3.85,-1.76
13:24:54,-0.04,-3.85,-1.76
13:24:54,-0.04,-3.85,-1.76
13:24:54,-0.04,-3.85,-1.76
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.77
13:24:54,-0.04,-3.85,-1.78
13:24:54,-0.04,-3.85,-1.78
13:24:54,-0.04,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.85,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.05,-3.86,-1.78
13:24:55,-0.06,-3.86,-1.78
13:24:55,-0.06,-3.86,-1.78
13:24:55,-0.06,-3.86,-1.78
13:24:55,-0.06,-3.86,-1.78
13:24:55,-0.06,-3.86,-1.78
13:24:55,-0.06,-3.87,-1.78
13:24:55,-0.06,-3.87,-1.78
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.79
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.07,-3.86,-1.80
13:24:55,-0.08,-3.86,-1.80
13:24:55,-0.08,-3.86,-1.80
13:24:55,-0.08,-3.86,-1.80
13:24:56,-0.08,-3.86,-1.80
13:24:56,-0.08,-3.86,-1.80
13:24:56,-0.08,-3.86,-1.80
13:24:56,-0.08,-3.86,-1.80
13:24:56,-0.08,-3.87,-1.80
13:24:56,-0.08,-3.87,-1.80
13:24:56,-0.08,-3.87,-1.80
13:24:56,-0.08,-3.87,-1.80
13:24:56,-0.08,-3.87,-1.80
13:24:56,-0.09,-3.87,-1.80
13:24:56,-0.09,-3.87,-1.80
13:24:56,-0.09,-3.87,-1.80
13:24:56,-0.09,-3.87,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.09,-3.88,-1.80
13:24:56,-0.10,-3.88,-1.80
13:24:56,-0.10,-3.88,-1.80
13:24:56,-0.10,-3.88,-1.80
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.88,-1.80
13:24:56,-0.10,-3.88,-1.81
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.81
13:24:56,-0.10,-3.87,-1.81
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.10,-3.87,-1.80
13:24:56,-0.11,-3.87,-1.80
13:24:56,-0.11,-3.87,-1.80
13:24:56,-0.11,-3.87,-1.81
13:24:56,-0.11,-3.87,-1.81
13:24:56,-0.11,-3.87,-1.81
13:24:56,-0.11,-3.87,-1.81
